STATE_ABBR,COUNTY,TOTAL_POPULATION,POP_ONE_RACE,WHITE,BLACK,AMARICAN_INDIAN,ASIAN,HAWAIIAN,OTHER
PA,Somerset County,74129,72010,69290,1881,69,200,14,556
PA,Sullivan County,5840,5605,5439,85,9,20,0,52
PA,Susquehanna County,38434,36764,36066,145,76,138,0,339
PA,Tioga County,41045,39309,38477,343,77,189,7,216
PA,Union County,42681,41090,36974,2583,102,822,8,601
PA,Venango County,50454,48239,47324,444,83,172,10,206
PA,Warren County,38587,36964,36447,149,76,157,5,130
PA,Washington County,209349,198887,188060,6958,301,2013,64,1491
PA,Wayne County,51155,48667,45795,1722,111,424,0,615
PA,Westmoreland County,354663,339397,324684,9188,419,3328,38,1740
PA,Wyoming County,26069,24928,24363,233,44,119,6,163
PA,York County,456438,427798,373200,27999,1116,6675,182,18626
SC,Abbeville County,24295,23408,16877,6205,44,73,11,198
SC,Aiken County,168808,158270,110016,39856,699,1792,132,5775
SC,Allendale County,8039,7871,2010,5656,48,17,1,139
SC,Anderson County,203718,192673,154385,30440,616,2413,58,4761
SC,Bamberg County,13311,12990,5046,7763,30,68,0,83
SC,Barnwell County,20589,19833,10493,8825,78,161,18,258
SC,Beaufort County,187117,172860,130860,27973,738,2441,137,10711
SC,Berkeley County,229861,211773,141465,52393,1566,5452,202,10695
SC,Calhoun County,14119,13638,7896,5372,62,30,6,272
SC,Charleston County,408235,386385,268699,92598,1501,7567,345,15675
SC,Cherokee County,56216,53705,40203,11370,226,345,14,1547
SC,Chester County,32294,30896,18759,11330,172,149,14,472
SC,Chesterfield County,43273,41172,26188,13233,241,274,9,1227
SC,Clarendon County,31144,30309,15481,13919,130,230,8,541
SC,Colleton County,38604,36867,22066,13467,335,188,16,795
SC,Darlington County,62905,60815,34103,25524,165,293,22,708
SC,Dillon County,28292,27120,13151,12727,639,68,2,533
SC,Dorchester County,161540,149324,101446,38733,1060,3314,204,4567
SC,Edgefield County,25657,24634,15334,8365,77,128,8,722
SC,Fairfield County,20948,20234,8571,11251,79,102,8,223
SC,Florence County,137059,131869,69755,57186,433,2324,54,2117
SC,Georgetown County,63404,61323,41555,18156,129,267,35,1181
SC,Greenville County,525534,488299,353260,88181,2437,12981,429,31011
SC,Greenwood County,69351,66042,41205,20938,171,694,44,2990
SC,Hampton County,18561,18127,8135,9592,50,102,17,231
SC,Horry County,351029,329466,270736,39883,1610,4655,320,12262
SC,Jasper County,28791,26755,13715,9645,145,197,24,3029
SC,Kershaw County,65403,61718,44053,15256,257,425,31,1696
SC,Lancaster County,96016,90236,66147,19272,292,1778,14,2733
SC,Laurens County,67539,64060,45080,16024,245,302,24,2385
SC,Lee County,16531,16112,5771,10084,50,38,0,169
SC,Lexington County,293991,274671,212701,42924,1473,6692,210,10671
SC,McCormick County,9526,9248,5182,3933,27,38,5,63
SC,Marion County,29183,28265,11205,16403,112,134,3,408
SC,Marlboro County,26667,25626,10839,13391,1139,99,7,151
SC,Newberry County,37719,35896,23263,10451,231,145,4,1802
SC,Oconee County,78607,73970,65766,5193,301,591,24,2095
SC,Orangeburg County,84223,81738,28070,51046,517,895,39,1171
SC,Pickens County,131404,123668,108696,8528,423,2735,37,3249
SC,Richland County,416147,392221,177274,190218,1356,11438,467,11468
SC,Saluda County,18862,17459,11670,4072,167,38,0,1512
SC,Spartanburg County,327997,308455,219423,64230,1375,8297,198,14932
SC,Sumter County,105556,100127,47406,48876,428,1432,90,1895
SC,Union County,27244,26198,17388,8485,58,78,9,180
SC,Williamsburg County,31026,30393,10249,19666,87,161,3,227
SC,York County,282090,263330,191849,51898,2284,8825,128,8346
KS,Allen County,12526,11744,11180,186,150,67,2,159
KS,Anderson County,7836,7506,7312,26,53,47,2,66
KS,Atchison County,16348,15346,14111,788,88,83,7,269
KS,Barber County,4228,4011,3857,8,34,16,5,91
KS,Barton County,25493,23556,21157,312,149,80,3,1855
KS,Bourbon County,14360,13400,12585,469,100,98,2,146
KS,Brown County,9508,8901,7772,100,872,45,7,105
KS,Butler County,67380,62152,58119,1463,569,1005,39,957
KS,Chase County,2572,2464,2271,20,16,8,3,146
KS,Chautauqua County,3379,3154,2847,23,189,19,0,76
KS,Cherokee County,19362,17593,16475,80,799,65,26,148
KS,Cheyenne County,2616,2413,2282,7,7,12,0,105
KS,Clark County,1991,1866,1724,6,21,24,1,90
KS,Clay County,8117,7761,7542,50,50,53,0,66
KS,Cloud County,9032,8631,8338,123,44,40,9,77
KS,Coffey County,8360,7954,7777,45,37,44,1,50
KS,Comanche County,1689,1599,1560,12,2,0,1,24
KS,Cowley County,34549,31201,27413,895,784,505,179,1425
KS,Crawford County,38972,35798,32587,913,373,461,193,1271
KS,Decatur County,2764,2645,2605,9,9,15,0,7
KS,Dickinson County,18402,17367,16814,117,87,80,21,248
KS,Doniphan County,7510,7169,6701,268,83,32,19,66
KS,Douglas County,118785,108285,92694,5301,2950,4685,86,2569
KS,Edwards County,2907,2645,2400,14,17,2,1,211
KS,Elk County,2483,2328,2253,5,48,4,0,18
KS,Ellis County,28934,27284,25584,340,96,266,2,996
KS,Ellsworth County,6376,6059,5655,254,53,31,0,66
KS,Finney County,38470,29845,19812,1542,367,1548,35,6541
KS,Ford County,34287,27738,17167,978,753,417,14,8409
KS,Franklin County,25996,24208,23187,305,220,108,7,381
KS,Geary County,36739,31875,21857,6303,325,1250,458,1682
KS,Gove County,2718,2571,2516,5,3,15,1,31
KS,Graham County,2415,2314,2212,57,14,14,3,14
KS,Grant County,7352,5926,4223,10,164,14,5,1510
KS,Gray County,5653,5205,4879,19,15,14,0,278
KS,Greeley County,1284,1179,1075,2,12,5,1,84
KS,Greenwood County,6016,5646,5494,28,35,36,1,52
KS,Hamilton County,2518,2180,1597,13,27,5,0,538
KS,Harper County,5485,5168,4829,17,98,15,5,204
KS,Harvey County,34024,31329,28658,650,267,261,11,1482
KS,Haskell County,3780,3425,2842,13,11,2,0,557
KS,Hodgeman County,1723,1642,1584,14,12,12,1,19
KS,Jackson County,13232,12260,10727,103,1213,34,18,165
KS,Jefferson County,18368,17226,16797,103,128,43,31,124
KS,Jewell County,2932,2803,2757,5,12,10,0,19
KS,Johnson County,609863,556797,473342,28781,2568,33030,384,18692
KS,Kearny County,3983,3237,2661,41,35,7,1,492
KS,Kingman County,7470,7137,6925,38,36,35,4,99
KS,Kiowa County,2460,2289,2184,43,12,16,4,30
KS,Labette County,20184,18146,16464,867,451,91,9,264
KS,Lane County,1574,1468,1406,0,8,0,3,51
KS,Leavenworth County,81881,74764,64640,6858,697,1103,153,1313
KS,Lincoln County,2939,2821,2740,8,16,10,1,46
KS,Linn County,9591,9093,8906,67,48,20,8,44
KS,Logan County,2762,2618,2513,5,1,10,2,87
KS,Lyon County,32179,29082,23801,651,266,574,16,3774
KS,McPherson County,30223,28505,26965,478,151,225,13,673
KS,Marion County,11823,11310,10910,122,54,39,7,178
KS,Marshall County,10038,9649,9480,42,23,46,2,56
KS,Meade County,4055,3640,3262,37,12,13,0,316
KS,Miami County,34191,32003,30907,436,166,161,16,317
KS,Mitchell County,5796,5574,5490,19,12,13,0,40
KS,Montgomery County,31486,28060,24297,1566,1023,201,24,949
KS,Morris County,5386,5098,4985,16,15,18,1,63
KS,Morton County,2701,2427,2076,20,16,31,9,275
KS,Nemaha County,10273,9945,9700,64,39,39,7,96
KS,Neosho County,15904,14763,14105,148,166,84,6,254
KS,Ness County,2687,2545,2347,2,19,2,2,173
KS,Norton County,5459,5200,4863,210,42,35,2,48
KS,Osage County,15766,14941,14706,33,48,52,3,99
KS,Osborne County,3500,3371,3304,1,19,18,0,29
KS,Ottawa County,5735,5431,5338,30,22,11,0,30
KS,Pawnee County,6253,5807,5361,249,38,28,3,128
KS,Phillips County,4981,4768,4684,19,22,15,1,27
KS,Pottawatomie County,25348,23575,22618,286,150,200,27,294
KS,Pratt County,9157,8652,8104,106,67,45,7,323
KS,Rawlins County,2561,2389,2283,19,3,11,0,73
KS,Reno County,61898,57319,52761,1863,519,352,48,1776
KS,Republic County,4674,4496,4437,15,13,11,9,11
KS,Rice County,9427,8529,7853,145,63,30,0,438
KS,Riley County,71959,65932,54567,5011,440,3367,225,2322
KS,Rooks County,4919,4696,4619,29,21,5,10,12
KS,Rush County,2956,2843,2800,7,4,14,0,18
KS,Russell County,6691,6322,6138,60,32,28,0,64
KS,Saline County,54303,49026,43415,1830,349,1139,31,2262
KS,Scott County,5151,4580,4173,14,44,16,8,325
KS,Sedgwick County,523824,466162,357757,46531,6581,22511,575,32207
KS,Seward County,21964,16737,9015,672,527,535,6,5982
KS,Shawnee County,178909,159926,132398,14211,2213,2521,180,8403
KS,Sheridan County,2447,2331,2257,3,11,12,2,46
KS,Sherman County,5927,5493,5025,103,19,17,1,328
KS,Smith County,3570,3468,3390,17,15,9,1,36
KS,Stafford County,4072,3739,3500,14,36,13,1,175
KS,Stanton County,2084,1757,1257,14,44,2,1,439
KS,Stevens County,5250,4654,3484,20,62,22,0,1066
KS,Sumner County,22382,20810,19934,205,240,73,0,358
KS,Thomas County,7930,7487,7100,108,48,47,0,184
KS,Trego County,2808,2675,2644,5,5,12,0,9
KS,Wabaunsee County,6877,6449,6303,31,40,18,4,53
KS,Wallace County,1512,1426,1370,3,5,0,2,46
KS,Washington County,5530,5288,5153,13,5,4,2,111
KS,Wichita County,2152,1850,1547,3,23,2,2,273
KS,Wilson County,8624,7994,7759,22,88,35,2,88
KS,Woodson County,3115,2945,2890,8,30,0,0,17
KS,Wyandotte County,169245,143962,73721,34589,1917,7705,387,25643
CO,Adams County,519572,428280,289718,17463,9520,23268,925,87386
CO,Alamosa County,16376,13470,10069,251,709,180,19,2242
CO,Arapahoe County,655070,572238,396027,70787,6820,42472,1777,54355
CO,Archuleta County,13359,11761,10749,41,240,105,6,620
CO,Baca County,3506,3274,3043,26,42,13,0,150
CO,Bent County,5650,5163,3831,256,162,52,0,862
CO,Boulder County,330758,297757,255983,3393,2509,16450,274,19148
CO,Broomfield County,74112,66010,56334,989,435,5146,89,3017
CO,Chaffee County,19476,18106,16693,296,185,137,13,782
CO,Cheyenne County,1748,1636,1534,1,13,4,0,84
CO,Clear Creek County,9397,8702,8323,52,73,83,9,162
CO,Conejos County,7461,6318,5045,27,167,21,2,1056
CO,Costilla County,3499,2507,1827,40,66,56,0,518
CO,Crowley County,5922,5542,3747,517,180,74,2,1022
CO,Custer County,4704,4446,4279,11,53,23,0,80
CO,Delta County,31196,28569,26117,145,294,243,9,1761
CO,Denver County,715522,618764,433946,64038,10601,27875,1531,80773
CO,Dolores County,2326,2125,2021,18,42,6,4,34
CO,Douglas County,357978,324079,289005,5160,1820,20064,345,7685
CO,Eagle County,55731,47813,39594,340,497,727,47,6608
CO,Elbert County,26062,23900,22817,123,182,187,22,569
CO,El Paso County,730395,636888,516911,43822,7519,22471,3091,43074
CO,Fremont County,48939,45546,39965,1848,850,338,30,2515
CO,Garfield County,61685,53445,42038,335,870,411,40,9751
CO,Gilpin County,5808,5348,5077,38,59,94,4,76
CO,Grand County,15717,14757,13772,64,80,90,17,734
